sick_cd_3,sick_cd_4,sick_desc_kor,sick_desc_eng,gender,age_limit_u,age_limit_l
K07,K076,턱관절장애,Temporomandibular joint disorders,,,
K07,K078,기타 치아얼굴이상,Other dentofacial anomalies,,,
K07,K079,상세불명의 치아얼굴이상,"Dentofacial anomaly, unspecified",,,
K08,,치아 및 지지구조의 기타 장애,Other disorders of teeth and supporting  structures,,,
K08,K080,전신적 원인에 의한 치아의 탈락,Exfoliation of teeth due to systemic causes,,,
K08,K081,"사고, 추출 또는 국한성 치주병에 의한 치아상실","Loss of teeth due to accident, extraction or local periodontal disease",,,
K08,K082,무치성 치조융기의 위축,Atrophy of edentulous alveolar ridge,,,
K08,K083,잔류치근,Retained dental root,,,
K08,K088,치아 및 지지구조의 기타 명시된 장애,Other specified disorders of teeth and supporting structures,,,
K08,K089,치아 및 지지구조의 상세불명 장애,"Disorder of teeth and supporting structures, unspecified",,,
K09,,달리 분류되지 않은 구강영역의 낭,"Cysts of oral region, NEC",,,
K09,K090,발달성 치원성 낭,Developmental odontogenic cysts,,,
K09,K091,구강영역의 발달성 (비치원성) 낭,Developmental (nonodontogenic) cysts of oral region,,,
K09,K092,턱의 기타 낭,Other cysts of jaw,,,
K09,K098,달리 분류되지 않은 구강영역의 기타 낭,"Other cysts of oral region, NEC",,,
K09,K099,상세불명의 구강영역의 낭,"Cyst of oral region, unspecified",,,
K10,,턱의 기타 질환,Other diseases of jaws,,,
K10,K100,턱의 발달장애,Developmental disorders of jaws,,,
K10,K101,중심성 거대세포육아종,"Giant cell granuloma, central",,,
K10,K102,턱의 염증성 병태,Inflammatory conditions of jaws,,,
K10,K103,턱의 치조염,Alveolitis of jaws,,,
K10,K108,턱의 기타 명시된 질환,Other specified diseases of jaws,,,
K10,K109,턱의 상세불명 질환,"Disease of jaws, unspecified",,,
K11,,침샘의 질환,Diseases of salivary glands,,,
K11,K110,침샘의 위축,Atrophy of salivary gland,,,
K11,K111,침샘의 비대,Hypertrophy of salivary gland,,,
K11,K112,타액선염,Sialoadenitis,,,
K11,K113,침샘의 농양,Abscess of salivary gland,,,
K11,K114,침샘의 누공,Fistula of salivary gland,,,
K11,K115,타석증,Sialolithiasis,,,
K11,K116,침샘의 점액류,Mucocele of salivary gland,,,
K11,K117,침분비의 장애,Disturbances of salivary secretion,,,
K11,K118,침샘의 기타 질환,Other diseases of salivary glands,,,
K11,K119,침샘의 상세불명 질환,"Disease of salivary gland, unspecified",,,
K12,,구내염 및 관련 병변,Stomatitis and related lesions,,,
K12,K120,재발성 구강 아프타,Recurrent oral aphthae,,,
K12,K121,구내염의 기타 형태,Other forms of stomatitis,,,
K12,K122,입의 연조직염 및 농양,Cellulitis and abscess of mouth,,,
K13,,입술 및 구강점막의 기타 질환,Other diseases of lip and oral mucosa,,,
K13,K130,입술의 질환,Diseases of lips,,,
K13,K131,볼 및 입술 씹기,Cheek and lip biting,,,
K13,K132,혀를 포함하는 구강상피의 백반 및 기타 장애,"Leukoplakia and other disturbances of oral epithelium, including tongue",,,
K13,K133,유모백반(K13.3),Hairy leukoplakia(K13.3),,,
K13,K134,구강점막의 육아종 및 육아종-유사병변,Granuloma and granuloma-like lesions of oral mucosa,,,
K13,K135,구강점막하섬유증,Oral submucous fibrosis,,,
K13,K136,구강점막의 자극성 증식증,Irritative hyperplasia of oral mucosa,,,
K13,K137,구강점막의 기타 및 상세불명의 병변,Other and unspecified lesions of oral mucosa,,,
K14,,혀의 질환,Diseases of tongue,,,
K14,K140,설염,Glossitis,,,
K14,K141,지도모양혀,Geographic tongue,,,
K14,K142,정중능형설염,Median rhomboid glossitis,,,
K14,K143,혀유두의 비대,Hypertrophy of tongue papillae,,,
K14,K144,혀유두의 위축,Atrophy of tongue papillae,,,
K14,K145,주름잡힌 혀,Plicated tongue,,,
K14,K146,설통,Glossodynia,,,
K14,K148,혀의 기타 질환,Other diseases of tongue,,,
K14,K149,혀의 상세불명 질환,"Disease of tongue, unspecified",,,
K20,,식도염,Oesophagitis,,,
K21,,위-식도역류병,Gastro-oesophageal reflux disease,,,
K21,K210,식도염을 동반한 위-식도역류병,Gastro-oesophageal reflux disease with oesophagitis,,,
K21,K219,식도염을 동반하지 않은 위-식도역류병,Gastro-oesophageal reflux disease without oesophagitis,,,
K22,,식도의 기타 질환,Other diseases of oesophagus,,,
K22,K220,분문의 이완불능증,Achalasia of cardia,,,
K22,K221,식도의 궤양,Ulcer of oesophagus,,,
K22,K222,식도폐색,Oesophageal obstruction,,,
K22,K223,식도의 천공,Perforation of oesophagus,,,
K22,K224,식도의 운동장애,Dyskinesia of oesophagus,,,
K22,K225,후천성 식도게실,"Diverticulum of oesophagus, acquired",,,
K22,K226,위-식도열상-출혈증후군,Gastro-oesophageal laceration-haemorrhage syndrome,,,
K22,K228,식도의 기타 명시된 질환,Other specified diseases of oesophagus,,,
K22,K229,식도의 상세불명 질환,"Disease of oesophagus, unspecified",,,
K25,,위궤양,Gastric ulcer,,,
K25,K250,출혈이 있는 급성 위궤양,Acute gastric ulcer with hemorrhage,,,
K25,K251,천공이 있는 급성 위궤양,Acute gastric ulcer with perforation,,,
K25,K252,출혈 및 천공이 모두 있는 급성 위궤양,Acute gastric ulcer with both hemorrhage and perforation,,,
K25,K253,출혈 또는 천공이 없는 급성 위궤양,Acute gastric ulcer without hemorrhage or perforation,,,
K25,K254,출혈이 있는 만성 또는 상세불명 위궤양,Chronic or unspecified gastric ulcer with hemorrhage,,,
K25,K255,천공이 있는 만성 또는 상세불명 위궤양,Chronic or unspecified gastric ulcer with perforation,,,
K25,K256,출혈 및 천공이 모두 있는 만성 또는 상세불명 위궤양,Chronic or unspecified gastric ulcer with both hemorrhage and perforation,,,
K25,K257,출혈 또는 천공이없는 만성 위궤양,Chronic gastic ulcer without hemorrhage or perforation,,,
K25,K259,출혈 또는 천공이 없는 급성인지 만성인지 상세불명인 위궤양,Unspecified as acute or chronic gastric ulcer without hemorrhage or perforation,,,
K26,,십이지장궤양,Duodenal ulcer,,,
K26,K260,출혈이 있는 급성 십이지장궤양,Acute duodenal ulcer with hemorrhage,,,
K26,K261,천공이 있는 급성 십이지장궤양,Acute duodenal ulcer with perforation,,,
K26,K262,출혈 및 천공이 모두 있는 급성 십이지장궤양,Acute duodenal ulcer with both hemorrhage and perforation,,,
K26,K263,출혈 또는 천공이 없는 급성 십이지장궤양,Acute duodenal ulcer without hemorrhage or perforation,,,
K26,K264,출혈이 있는 만성 또는 상세불명 십이지장궤양,Chronic or unspecified duodenal ulcer with hemorrhage,,,
K26,K265,천공이 있는 만성 또는 상세불명 십이지장궤양,Chronic or unspecified duodenal ulcer with perforation,,,
K26,K266,출혈 및 천공이 모두 있는 만성 또는 상세불명 십이지장궤양,Chronic or unspecified duodenal ulcer with both hemorrhage and perforation,,,
K26,K267,출혈 또는 천공이 없는 만성 십이지장궤양,Chronic duodenal ulcer without hemorrhage or perforation,,,
K26,K269,출혈 또는 천공이 없는 급성인지 만성인지 상세불명인 십이지장궤양,Unspecified as acute or chronic duodenal ulcer without hemorrhage or perforation,,,
K27,,상세불명 부위의 소화성 궤양,"Peptic ulcer, site unspecified",,,
K27,K270,출혈이 있는 급성 상세불명 부위의 소화성 궤양,"Acute peptic ulcer, site unspecified with hemorrhage",,,
K27,K271,천공이 있는 급성 상세불명 부위의 소화성 궤양,"Acute peptic ulcer, site unspecified with perforation",,,
K27,K272,출혈 및 천공이 모두 있는 급성 상세불명 부위의 소화성 궤양,"Acute peptic ulcer, site unspecified with both hemorrhage and perforation",,,
K27,K273,출혈 또는 천공이 없는 급성 상세불명 부위의 소화성 궤양,"Acute peptic ulcer, site unspecified without hemorrhage or perforation",,,
K27,K274,출혈이 있는 만성 또는 상세불명 부위의 소화성 궤양,"Chronic or unspecified peptic ulcer, site unspecified with hemorrhage",,,
K27,K275,천공이 있는 만성 또는 상세불명 부위의 소화성 궤양,"Chronic or unspecified peptic ulcer, site unspecified with perforation",,,
K27,K276,출혈 및 천공이 모두 있는 만성 또는 상세불명 부위의 소화성 궤양,"Chronic or unspecified peptic ulcer, site unspecified with both hemorrhage and perforation",,,
K27,K277,출혈 또는 천공이 없는 만성 상세불명 부위의 소화성 궤양,"Chronic peptic ulcer, site unspecified without hemorrhage or perforation",,,
K27,K279,출혈 또는 천공이 없는 급성인지 만성인지 상세불명인 상세불명 부위의 소화성 궤양,"Unspecified as acute or chronic peptic ulcer, site unspecified without hemorrhage or perforation",,,
K28,,위공장궤양,Gastrojejunal ulcer,,,
K28,K280,출혈이 있는 급성 위공장궤양,Acute gastrojejunal ulcer with hemorrhage,,,
K28,K281,천공이 있는 급성 위공장궤양,Acute gastrojejunal ulcer with perforation,,,
K28,K282,출혈 및 천공이 모두 있는 급성 위공장궤양,Acute gastrojejunal ulcer with both hemorrhage and perforation,,,
K28,K283,출혈 또는 천공이 없는 급성 위공장궤양,Acute gastrojejunal ulcer without hemorrhage or perforation,,,
K28,K284,출혈이 있는 만성 또는 상세불명 위공장궤양,Chronic or unspecified gastrojejunal ulcer with hemorrhage,,,
K28,K285,천공이 있는 만성 또는 상세불명 위공장궤양,Chronic or unspecified gastrojejunal ulcer with perforation,,,
K28,K286,출혈 및 천공이 모두 있는 만성 또는 상세불명 위공장궤양,Chronic or unspecified gastrojejunal ulcer with both hemorrhage and perforation,,,
K28,K287,출혈 또는 천공이 없는 만성 위공장궤양,Chronic gastrojejunal ulcer without hemorrhage or perforation,,,
K28,K289,출혈 또는 천공이 없는 급성인지 만성인지 상세불명인 위공장궤양,Unspecified as acute or chronic gastrojejunal ulcer without hemorrhage or perforation,,,
K29,,위염 및 십이지장염,Gastritis and duodenitis,,,
K29,K290,급성 출혈성 위염,Acute haemorrhagic gastritis,,,
K29,K291,기타 급성 위염,Other acute gastritis,,,
K29,K292,알콜성 위염,Alcoholic gastritis,,,
K29,K293,만성 표재성 위염,Chronic superficial gastritis,,,
K29,K294,만성 위축성 위염,Chronic atrophic gastritis,,,
K29,K295,상세불명의 만성 위염,"Chronic gastritis, unspecified",,,
K29,K296,기타 위염,Other gastritis,,,
K29,K297,상세불명의 위염,"Gastritis, unspecified",,,
K29,K298,십이지장염,Duodenitis,,,
K29,K299,상세불명의 위십이지장염,"Gastroduodenitis, unspecified",,,
K30,,기능성 소화불량,Functional dyspepsia,,,
K31,,위 및 십이지장의 기타 질환,Other diseases of stomach and duodenum,,,
K31,K310,위의 급성 확장,Acute dilatation of stomach,,,
K31,K311,성인 비대성 유문협착,Adult hypertrophic pyloric stenosis,,,
K31,K312,위의 모래시계협착,Hourglass stricture and stenosis of stomach,,,
K31,K313,달리 분류되지 않은 유문연축,"Pylorospasm, NEC",,,
K31,K314,위게실,Gastric diverticulum,,,
K31,K315,십이지장의 폐색,Obstruction of duodenum,,,
K31,K316,위 및 십이지장의 누공,Fistula of stomach and duodenum,,,
K31,K317,위 및 십이지장의 폴립,Polyp of stomach and duodenum,,,
K31,K318,위 및 십이지장의 기타 명시된 질환,Other specified diseases of stomach and duodenum,,,
K31,K319,위 및 십이지장의 상세불명 질환,"Disease of stomach and duodenum, unspecified",,,
K35,,급성 충수염,Acute appendicitis,,,
K36,,기타 충수염,Other appendicitis,,,
K37,,상세불명의 충수염,Unspecified appendicitis,,,
K38,,충수의 기타 질환,Other diseases of appendix,,,
K38,K380,충수의 증식증,Hyperplasia of appendix,,,
K38,K381,충수결석,Appendicular concretion,,,
K38,K382,충수의 게실,Diverticulum of appendix,,,
K38,K383,충수의 누공,Fistula of appendix,,,
K38,K388,충수의 기타 명시된 질환,Other specified diseases of appendix,,,
K38,K389,충수의 상세불명 질환,"Disease of appendix, unspecified",,,
K40,,사타구니탈장,Inguinal hernia,,,
K40,K400,폐색은 있지만 괴저가 없는 양쪽 사타구니탈장,"Bilateral inguinal hernia, with obstruction, without gangrene",,,
K40,K401,괴저가 있는 양쪽 사타구니탈장,"Bilateral inguinal hernia, with gangrene",,,
K40,K402,폐색 또는 괴저가 없는 양쪽 사타구니탈장,"Bilateral inguinal hernia, without obstruction or gangrene",,,
K40,K403,폐색은 있지만 괴저가 없는 한쪽 또는 상세불명의 사타구니탈장,"Unilateral or unspecified inguinal hernia, with obstruction, without gangrene",,,
K40,K404,괴저가 있는 한쪽 또는 상세불명의 사타구니탈장,"Unilateral or unspecified inguinal hernia, with gangrene",,,
K40,K409,폐색 또는 괴저가 없는 한쪽 또는 상세불명의 사타구니탈장,"Unilateral or unspecified inguinal hernia, without obstruction or gangrene",,,
K41,,대퇴탈장,Femoral hernia,,,
K41,K410,폐색은 있지만 괴저가 없는 양쪽 대퇴탈장,"Bilateral femoral hernia, with obstruction, without gangrene",,,
K41,K411,괴저가 있는 양쪽 대퇴탈장,"Bilateral femoral hernia, with gangrene",,,
K41,K412,폐색 또는 괴저가 없는 양쪽 대퇴탈장,"Bilateral femoral hernia, without obstruction or gangrene",,,
K41,K413,폐색은 있지만 괴저가 없는 한쪽 또는 상세불명의 대퇴탈장,"Unilateral or unspecified femoral hernia, with obstruction, without gangrene",,,
K41,K414,괴저가 있는 한쪽 또는 상세불명의 대퇴탈장,"Unilateral or unspecified femoral hernia, with gangrene",,,
K41,K419,폐색 또는 괴저가 없는 한쪽 또는 상세불명의 대퇴탈장,"Unilateral or unspecified femoral hernia, without obstruction or gangrene",,,
K42,,배꼽탈장,Umbilical hernia,,,
K42,K420,폐색은 있지만 괴저가 없는 배꼽탈장,"Umbilical hernia with obstruction, without gangrene",,,
K42,K421,괴저가 있는 배꼽탈장,Umbilical hernia with gangrene,,,
K42,K429,폐색 또는 괴저가 없는 배꼽탈장,Umbilical hernia without obstruction or gangrene,,,
K43,,복벽탈장,Ventral hernia,,,
K43,K430,폐색은 있지만 괴저가 없는 절개탈장,"Incisional hernia with obstruction, without gangrene",,,
K43,K431,괴저가 있는 절개탈장,Incisionall hernia with gangrene,,,
K43,K439,폐색 또는 괴저가 없는 기타 및 상세불명의 복벽탈장,Other and unspecified ventral hernia without obstruction or gangrene,,,
K44,,횡격막탈장,Diaphragmatic hernia,,,
K44,K440,폐색은 있지만 괴저가 없는 횡격막탈장,"Diaphragmatic hernia with obstruction, without gangrene",,,
K44,K441,괴저가 있는 횡격막탈장,Diaphragmatic hernia with gangrene,,,
K44,K449,폐색 또는 괴저가 없는 횡격막탈장,Diaphragmatic hernia without obstruction or gangrene,,,
K45,,기타 복벽탈장,Other abdominal hernia,,,
K45,K450,폐색은 있지만 괴저가 없는 기타 명시된 복벽탈장,"Other specified abdominal hernia with obstruction, without gangrene",,,
K45,K451,괴저가 있는 기타 명시된 복벽탈장,Other specified abdominal hernia with gangrene,,,
K45,K458,폐색 또는 괴저가 없는 기타 명시된 복벽탈장,Other specified abdominal hernia without obstruction or gangrene,,,
K46,,상세불명의 복벽탈장,Unspecified abdominal hernia,,,
K46,K460,폐색은 있지만 괴저가 없는 상세불명의 복벽탈장,"Unspecified abdominal hernia with obstruction, without gangrene",,,
K46,K461,괴저가 있는 상세불명의 복벽탈장,Unspecified abdominal hernia with gangrene,,,
K46,K469,폐색 또는 괴저가 없는 상세불명의 복벽탈장,Unspecified abdominal hernia without obstruction or gangrene,,,
K50,,크론병[국소성 장염],Crohn’s disease[regional enteritis],,,
K50,K500,소장의 크론병,Crohn’s disease of small intestine,,,
K50,K501,대장의 크론병,Crohn’s disease of large intestine,,,
K50,K508,기타 크론병,Other Crohn’s disease,,,
K50,K509,상세불명의 크론병,"Crohn’s disease, unspecified",,,
K51,,궤양성 대장염,Ulcerative colitis,,,
K51,K510,궤양성 (만성) 범결장염,Ulcerative (chronic) pancolitis,,,
K51,K512,궤양성 (만성) 직장염,Ulcerative (chronic) proctitis,,,
K51,K513,궤양성 (만성) 직장구불결장염,Ulcerative (chronic) rectosigmoiditis,,,
K51,K514,염증성 폴립,Inflammatory polyps,,,
K51,K515,좌측 결장염,Left side colitis,,,
K51,K518,기타 궤양성 대장염,Other ulcerative colitis,,,
K51,K519,상세불명의 궤양성 대장염,"Ulcerative colitis, unspecified",,,
K52,,기타 비감염성 위장염 및 결장염,Other noninfective gastroenteritis and colitis,,,
K52,K520,방사선에 의한 위장염 및 결장염,Gastroenteritis and colitis due to radiation,,,
K52,K521,독성 위장염 및 결장염,Toxic gastroenteritis and colitis,,,
K52,K522,앨러지성 또는 식사성의 위장염 및 결장염,Allergic and dietetic gastroenteritis and colitis,,,
K52,K528,기타 명시된 비감염성 위장염 및 결장염,Other specified noninfective gastroenteritis and colitis,,,
K52,K529,상세불명의 비감염성 위장염 및 결장염,"Noninfective gastroenteritis and colitis, unspecified",,,
K55,,장의 혈관장애,Vascular disorders of intestine,,,
K55,K550,장의 급성 혈관장애,Acute vascular disorders of intestine,,,
K55,K551,장의 만성 혈관장애,Chronic vascular disorders of intestine,,,
K55,K552,결장의 혈관형성이상,Angiodysplasia of colon,,,
K55,K558,장의 기타 혈관장애,Other vascular disorders of intestine,,,
K55,K559,장의 상세불명의 혈관장애,"Vascular disorder of intestine, unspecified",,,
K56,,탈장이 없는 마비성 장폐색증 및 장폐색,Paralytic ileus and intestinal obstruction without hernia,,,
K56,K560,마비성 장폐색증,Paralytic ileus,,,
K56,K561,중첩,Intussusception,,,
K56,K562,장염전,Volvulus,,,
K56,K563,담석장폐색증,Gallstone ileus,,,
K56,K564,장의 기타 감입,Other impaction of intestine,,,
K56,K565,폐색을 동반한 장유착[띠],Intestine adhesions [bands] with obstruction,,,
K56,K566,기타 및 상세불명의 장폐색,Other and unspecified intestinal obstruction,,,
K56,K567,상세불명의 장폐색증,"Ileus, unspecified",,,
K57,,장의 게실병,Diverticular disease of intestine,,,
K57,K570,천공 및 농양이 있는 소장의 게실병,Diverticular disease of small intestine with perforation and abscess,,,
K57,K571,천공 또는 농양이 없는 소장의 게실병,Diverticular disease of small intestine without perforation or abscess,,,
K57,K572,천공 및 농양이 있는 대장의 게실병,Diverticular disease of large intestine with perforation and abscess,,,
K57,K573,천공 또는 농양이 없는 대장의 게실병,Diverticular disease of large intestine without perforation or abscess,,,
K57,K574,천공 및 농양이 있는 소장과 대장 모두의 게실병,Diverticular disease of both samll and large intestine with perforation and abscess,,,
K57,K575,천공 또는 농양이 없는 소장과 대장 모두의 게실병,Diverticular disease of both small and large intestine without perforation or abscess,,,
K57,K578,천공 및 농양이 있는 상세불명 부분의 장의 게실병,"Diverticular disease of intestine, part unspecified, with perforation and abscess",,,
K57,K579,천공 또는 농양이 없는 상세불명 부분의 장의 게실병,"Diverticular disease of intestine, part unspecified, without perforation or abscess",,,
K58,,과민대장증후군,Irritable bowel syndrome,,,
K58,K580,설사를 동반한 과민대장증후군,Irritable bowel syndrome with diarrhoea,,,
K58,K589,설사를 동반하지 않은 과민대장증후군,Irritable bowel syndrome without diarrhoea,,,
K59,,기타 기능성 장장애,Other functional intestinal disorders,,,
K59,K590,변비,Constipation,,,
K59,K591,기능성 설사,Functional diarrhoea,,,
K59,K592,달리 분류되지 않은 신경성 장,"Neurogenic bowel, NEC",,,
K59,K593,달리 분류되지 않은 거대결장,"Megacolon, NEC",,,
K59,K594,항문연축,Anal spasm,,,
K59,K598,기타 명시된 기능성 장장애,Other specified functional intestinal disorders,,,
K59,K599,상세불명의 기능성 장장애,"Functional intestinal disorder, unspecified",,,
K60,,항문 및 직장부의 열창 및 누공,Fissure and fistula of anal and rectal regions,,,
K60,K600,급성 항문열창,Acute anal fissure,,,
K60,K601,만성 항문열창,Chronic anal fissure,,,
K60,K602,상세불명의 항문열창,"Anal fissure, unspecified",,,
K60,K603,항문루,Anal fistula,,,
K60,K604,직장루,Rectal fistula,,,
K60,K605,항문직장루,Anorectal fistula,,,
K61,,항문 및 직장부의 농양,Abscess of anal and rectal regions,,,
K61,K610,항문농양,Anal abscess,,,
K61,K611,직장농양,Rectal abscess,,,
K61,K612,항문직장농양,Anorectal abscess,,,
K61,K613,좌골직장농양,Ischiorectal abscess,,,
K61,K614,괄약근내농양,Intrasphincteric abscess,,,
K62,,항문 및 직장의 기타 질환,Other diseases of anus and rectum,,,
K62,K620,항문폴립,Anal polyp,,,
K62,K621,직장폴립,Rectal polyp,,,
K62,K622,항문탈출,Anal prolapse,,,
K62,K623,직장탈출,Rectal prolapse,,,
K62,K624,항문 및 직장의 협착,Stenosis of anus and rectum,,,
K62,K625,항문 및 직장의 출혈,Haemorrhage of anus and rectum,,,
K62,K626,항문 및 직장의 궤양,Ulcer of anus and rectum,,,
K62,K627,방사선직장염,Radiation proctitis,,,
K62,K628,항문 및 직장의 기타 명시된 질환,Other specified diseases of anus and rectum,,,
K62,K629,항문 및 직장의 상세불명 질환,"Disease of anus and rectum, unspecified",,,
K63,,장의 기타 질환,Other diseases of intestine,,,
K63,K630,장의 농양,Abscess of intestine,,,
K63,K631,장의 천공(비외상성),Perforation of intestine(nontraumatic),,,
K63,K632,장의 누공,Fistula of intestine,,,
K63,K633,장의 궤양,Ulcer of intestine,,,
K63,K634,장하수,Enteroptosis,,,
K63,K635,결장의 폴립,Polyp of colon,,,
K63,K638,장의 기타 명시된 질환,Other specified diseases of intestine,,,
K63,K639,장의 상세불명 질환,"Disease of intestine, unspecified",,,
K65,,복막염,Peritonitis,,,
K65,K650,급성 복막염,Acute peritonitis,,,
K65,K658,기타 복막염,Other peritonitis,,,
K65,K659,상세불명의 복막염,"Peritonitis, unspecified",,,
K66,,복막의 기타 장애,Other disorders of peritoneum,,,
K66,K660,복막유착,Peritoneal adhesions,,,
K66,K661,혈복강,Haemoperitoneum,,,
K66,K668,복막의 기타 명시된 장애,Other specified disorders of peritoneum,,,
K66,K669,복막의 상세불명 장애,"Disorder of peritoneum, unspecified",,,
K70,,알콜성 간질환,Alcoholic liver disease,,,
K70,K700,알콜성 지방간,Alcoholic fatty liver,,,
K70,K701,알콜성 간염,Alcoholic hepatitis,,,
K70,K702,알콜성 간섬유증 및 간의 경화증,Alcoholic fibrosis and sclerosis of liver,,,
K70,K703,알콜성 간경변증,Alcoholic cirrhosis of liver,,,
K70,K704,알콜성 간부전,Alcoholic hepatic failure,,,
K70,K709,상세불명의 알콜성 간질환,"Alcoholic liver disease, unspecified",,,
K71,,독성간질환,Toxic liver disease,,,
K71,K710,담즙정체를 동반한 독성간질환,Toxic liver disease with cholestasis,,,
K71,K711,간괴사를 동반한 독성간질환,Toxic liver disease with hepatic necrosis,,,
K71,K712,급성 간염을 동반한 독성간질환,Toxic liver disease with acute hepatitis,,,
K71,K713,만성 지속성 간염을 동반한 독성간질환,Toxic liver disease with chronic persistent hepatitis,,,
K71,K714,만성 소엽성 간염을 동반한 독성간질환,Toxic liver disease with chronic lobular hepatitis,,,
K71,K715,만성 활동성 간염을 동반한 독성간질환,Toxic liver disease with chronic active hepatitis,,,
K71,K716,달리 분류되지 않은 간염을 동반한 독성간질환,"Toxic liver disease with hepatitis, NEC",,,
K71,K717,간의 섬유증 및 경변증을 동반한 독성간질환,Toxic liver disease with fibrosis and cirrhosis of liver,,,
K71,K718,간의 기타 장애를 동반한 독성간질환,Toxic liver disease with other disorders of liver,,,
K71,K719,상세불명의 독성간질환,"Toxic liver disease, unspecified",,,
K72,,달리 분류되지 않은 간부전,"Hepatic failure, NEC",,,
K72,K720,급성 및 아급성 간부전,Acute and subacute hepatic failure,,,
K72,K721,만성 간부전,Chronic hepatic failure,,,
K72,K729,상세불명의 간부전,"Hepatic failure, unspecified",,,
K73,,달리 분류되지 않은 만성 간염,"Chronic hepatitis, NEC",,,
K73,K730,달리 분류되지 않은 만성 지속성 간염,"Chronic persistent hepatitis, NEC",,,
K73,K731,달리 분류되지 않은 만성 소엽성 간염,"Chronic lobular hepatitis, NEC",,,
K73,K732,달리 분류되지 않은 만성 활동성 간염,"Chronic active hepatitis, NEC",,,
K73,K738,달리 분류되지 않은 기타 만성 간염,"Other chronic hepatitis, NEC",,,
K73,K739,상세불명의 만성 간염,"Chronic hepatitis, unspecified",,,
K74,,간의 섬유증 및 경변증,Fibrosis and cirrhosis of liver,,,
K74,K740,간섬유증,Hepatic fibrosis,,,
K74,K741,간경화증,Hepatic sclerosis,,,
K74,K742,간경화증을 동반한 간섬유증,Hepatic fibrosis with hepatic sclerosis,,,
K74,K743,원발성 담즙성 경변증,Primary biliary cirrhosis,,,
K74,K744,이차성 담즙성 간경변증,Secondary biliary cirrhosis,,,
K74,K745,상세불명의 담즙성 간경변증,"Biliary cirrhosis, unspecified",,,
K74,K746,간의 기타 및 상세불명의 경변증,Other and unspecified cirrhosis of liver,,,
K75,,기타 염증성 간질환,Other inflammatory liver diseases,,,
K75,K750,간의 농양,Abscess of liver,,,
K75,K751,문맥의 정맥염,Phlebitis of portal vein,,,
K75,K752,비특이성 반응성 간염,Nonspecific reactive hepatitis,,,
K75,K753,달리 분류되지 않은 육아종성 간염,"Granulomatous hepatitis, NEC",,,
K75,K754,자가면역성 간염,Autoimmune hepatitis,,,
K75,K758,기타 명시된 염증성 간질환,Other specified inflammatory liver diseases,,,
K75,K759,상세불명의 염증성 간질환,"Inflammatory liver disease, unspecified",,,
K76,,간의 기타 질환,Other diseases of liver,,,
K76,K760,달리 분류되지 않은 지방(변화성)간,"Fatty(change of) liver, NEC",,,
K76,K761,간의 만성 수동울혈,Chronic passive congestion of liver,,,
K76,K762,간의 중심성 출혈괴사,Central haemorrhagic necrosis of liver,,,
K76,K763,간의 경색증,Infarction of liver,,,
K76,K764,간자반증,Peliosis hepatis,,,
K76,K765,간정맥폐쇄질환,Hepatic veno-occlusive disease,,,
K76,K766,문맥고혈압,Portal hypertension,,,
K76,K767,간신증후군,Hepatorenal syndrome,,,
K76,K768,기타 명시된 간질환,Other specified diseases of liver,,,
K76,K769,상세불명의 간질환,"Liver disease, unspecified",,,
K80,,담석증,Cholelithiasis,,,
K80,K800,급성 담낭염을 동반한 담낭의 결석,Calculus of gallbladder with acute cholecystitis,,,
K80,K801,기타 담낭염을 동반한 담낭의 결석,Calculus of gallbladder with other cholecystitis,,,
K80,K802,담낭염이 없는 담낭의 결석,Calculus of gallbladder without cholecystitis,,,
K80,K803,담관염을 동반한 담관결석,Calculus of bile duct with cholangitis,,,
K80,K804,담낭염을 동반한 담관결석,Calculus of bile duct with cholecystitis,,,
K80,K805,담관염 또는 담낭염이 없는 담관결석,Calculus of bile duct without cholangitis or cholecystitis,,,
K80,K808,기타 담석증,Other cholelithiasis,,,
K81,,담낭염,Cholecystitis,,,
K81,K810,급성 담낭염,Acute cholecystitis,,,
K81,K811,만성 담낭염,Chronic cholecystitis,,,
K81,K818,기타 담낭염,Other cholecystitis,,,
K81,K819,상세불명의 담낭염,"Cholecystitis, unspecified",,,
K82,,담낭의 기타 질환,Other diseases of gallbladder,,,
K82,K820,담낭의 폐색,Obstruction of gallbladder,,,
K82,K821,담낭의 수종,Hydrops of gallbladder,,,
K82,K822,담낭의 천공,Perforation of gallbladder,,,
K82,K823,담낭의 누공,fistula of gallbladder,,,
K82,K824,담낭의 콜레스테롤증,Cholesterolosis of gallbladder,,,
K82,K828,담낭의 기타 명시된 질환,Other specified diseases of gallbladder,,,
K82,K829,담낭의 상세불명의 질환,"Disease of gallbladder, unspecified",,,
K83,,담도의 기타 질환,Other diseases of biliary tract,,,
K83,K830,담관염,Cholangitis,,,
K83,K831,담관의 폐색,Obstruction of bile duct,,,
K83,K832,담관의 천공,Perforation of bile duct,,,
K83,K833,담관의 누공,Fistula of bile duct,,,
K83,K834,오디괄약근의 연축,Spasm of sphincter of Oddi,,,
K83,K835,담도낭,Biliary cyst,,,
K83,K838,담도의 기타 명시된 질환,Other specified diseases of biliary tract,,,
K83,K839,담도의 상세불명의 질환,"Disease of biliary tract, unspecified",,,
K85,,급성 췌장염,Acute pancreatitis,,,
K86,,췌장의 기타 질환,Other diseases of pancreas,,,
